name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event
PyData St. Louis,https://www.meetup.com/pydata-st-louis,pydata-st-louis,75,Saint Louis,4.8,St. Louis,38.6254063,-90.190009,United States,2,5.0,"NumFOCUS, Inc.",2026-03-02T23:30:00-06:00[America/Chicago],True,https://www.meetup.com/pydata-st-louis/events/,https://www.meetup.com/pydata-st-louis/members/?op=leaders,14.0
PyData Chicago,https://www.meetup.com/pydatachi,pydatachi,6191,Chicago,4.6,Chicago,41.8755616,-87.6244212,United States,134,5.0,"NumFOCUS, Inc.",2026-02-20T00:00:00-06:00[America/Chicago],True,https://www.meetup.com/pydatachi/events/,https://www.meetup.com/pydatachi/members/?op=leaders,25.0
PyData Ann Arbor,https://www.meetup.com/pydata-ann-arbor,pydata-ann-arbor,1375,Ann Arbor,4.7,Ann Arbor,42.2813722,-83.7484616,United States,49,4.0,Benjamin Zaitlen,2025-12-09T10:30:00-05:00[America/New_York],False,https://www.meetup.com/pydata-ann-arbor/events/,https://www.meetup.com/pydata-ann-arbor/members/?op=leaders,98.0
PyData Denver,https://www.meetup.com/PyData-Denver,PyData-Denver,1694,Denver,4.8,Denver,39.7392364,-104.984862,United States,35,9.0,,2025-12-09T10:30:00-07:00[America/Denver],False,https://www.meetup.com/PyData-Denver/events/,https://www.meetup.com/PyData-Denver/members/?op=leaders,98.0
NEO AI - a PyData Group,https://www.meetup.com/neo-ai,neo-ai,115,Cleveland,,"Cleveland, Ohio, USA",41.4996574,-81.6936772,United States,10,,Phil G.,2025-08-26T22:30:00-04:00[America/New_York],False,https://www.meetup.com/neo-ai/events/,https://www.meetup.com/neo-ai/members/?op=leaders,203.0
Dallas Data Engineers - a PyData Group,https://www.meetup.com/dallas-data-engineers,dallas-data-engineers,634,Dallas,4.8,"Dallas, Texas, USA",32.7762719,-96.7968559,United States,16,4.0,Jonathan Porter,2025-10-09T23:00:00-05:00[America/Chicago],False,https://www.meetup.com/dallas-data-engineers/events/,https://www.meetup.com/dallas-data-engineers/members/?op=leaders,159.0
PyData Pittsburgh,https://www.meetup.com/pydata-pittsburgh,pydata-pittsburgh,1682,Pittsburgh,4.8,Pittsburgh,40.4406968,-80.0025666,United States,57,9.0,Pete Fein,2026-02-26T00:00:00-05:00[America/New_York],True,https://www.meetup.com/pydata-pittsburgh/events/,https://www.meetup.com/pydata-pittsburgh/members/?op=leaders,19.0
PyData Atlanta,https://www.meetup.com/PyData-Atlanta,PyData-Atlanta,3838,Atlanta,4.8,Atlanta,33.7544657,-84.3898151,United States,126,5.0,Jeremy Jacobson,2026-02-19T23:00:00-05:00[America/New_York],False,https://www.meetup.com/PyData-Atlanta/events/,https://www.meetup.com/PyData-Atlanta/members/?op=leaders,26.0
PyData Toronto,https://www.meetup.com/pydatato,pydatato,1865,Toronto,4.9,Toronto,43.6534817,-79.3839347,Canada,18,4.0,"NumFOCUS, Inc.",2025-12-09T10:30:00-05:00[America/Toronto],False,https://www.meetup.com/pydatato/events/,https://www.meetup.com/pydatato/members/?op=leaders,98.0
PyData Houston,https://www.meetup.com/PyData-Houston,PyData-Houston,462,Houston,,Houston,29.7589382,-95.3676974,United States,10,,Emily Cookson,2025-12-09T10:30:00-06:00[America/Chicago],False,https://www.meetup.com/PyData-Houston/events/,https://www.meetup.com/PyData-Houston/members/?op=leaders,98.0
